Timestamp,Event Type,Details
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:18,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:19,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:20,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:21,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
2026-02-15 20:10:22,LOITERING,Track ID 7
